股票代码,股票名称,最新价,EMA6,EMA18,止损线,买入信号,信号强度,信号日期,趋势,更新日期
300931,通用电梯,11.17,11.03,11.02,9.91,放量启动+底背离,⭐⭐⭐ 强烈,2026-02-02,上升,2026-02-02
600828,茂业商业,7.24,6.6,6.57,5.37,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
601116,三江购物,17.58,16.92,16.82,13.45,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
603880,南卫股份,6.63,6.38,6.33,5.76,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
688363,华熙生物,47.18,46.23,46.04,42.62,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
688350,富淼科技,28.42,26.81,26.64,22.25,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
600345,长江通信,37.2,34.86,34.43,28.31,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
688513,苑东生物,63.3,60.24,59.46,53.57,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
688178,万德斯,25.19,25.04,25.03,22.96,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
002099,海翔药业,6.81,6.51,6.5,5.84,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
002644,佛慈制药,9.21,8.97,8.93,8.37,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
002719,麦趣尔,9.14,8.94,8.89,8.16,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
300265,通光线缆,15.66,14.13,14.05,11.32,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
301180,万祥科技,18.81,18.07,17.94,16.01,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
300502,新易盛,439.0,411.96,405.42,350.93,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
300783,三只松鼠,24.21,24.18,24.17,22.07,放量启动,⭐ 一般,2026-02-02,上升,2026-02-02
603919,金徽酒,23.98,21.67,20.85,19.56,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
600330,天通股份,14.0,13.26,12.97,11.09,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
603391,力聚热能,71.78,67.78,66.34,61.16,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
603557,ST起步,2.75,2.67,2.65,2.45,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
000799,酒鬼酒,58.8,55.8,55.03,50.13,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
001268,联合精密,37.41,36.5,36.17,32.55,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
300528,幸福蓝海,23.46,21.96,21.53,18.72,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
300144,宋城演艺,8.71,8.47,8.4,7.88,放量启动,⭐ 一般,2026-01-30,上升,2026-02-02
688583,思看科技,142.0,118.29,107.07,97.9,放量启动,⭐ 一般,2026-01-29,上升,2026-02-02
600779,水井坊,44.78,41.42,40.02,37.28,放量启动,⭐ 一般,2026-01-29,上升,2026-02-02
600199,金种子酒,10.98,10.19,9.85,9.35,放量启动,⭐ 一般,2026-01-29,上升,2026-02-02
603601,再升科技,11.81,11.35,11.12,8.96,放量启动,⭐ 一般,2026-01-29,上升,2026-02-02
603198,迎驾贡酒,41.63,40.57,39.93,37.68,放量启动,⭐ 一般,2026-01-29,上升,2026-02-02
002678,珠江钢琴,5.79,5.46,5.37,4.82,放量启动,⭐ 一般,2026-01-29,上升,2026-02-02
