,EMA6,EMA18,VAR_SHORT,VAR_LONG,IS_UPTREND,MY_ATR,STOP_LOSS_LINE,止盈红线,DIF,DEA,MACD_BAR,底背离,顶背离,Z_VAL,IS_PEAK,IS_TROUGH,共振机会,IS_VOL_UP,IS_GOLD_CROSS,放量启动,二浪回踩,离场警报
2024-01-01,100.99342830602247,100.99342830602247,100.99342830602247,100.99342830602247,True,,,,0.0,0.0,0.0,False,False,302.9802849180674,False,False,False,False,False,False,False,False
2024-01-02,100.91442013392465,100.96432003209169,100.91442013392465,100.96432003209169,False,,,,-0.02205926172531747,-0.004411852345063494,-0.035294818760507954,False,False,302.9802849180674,False,False,False,False,False,False,False,False
2024-01-03,101.22809346134089,101.07463126870114,101.22809346134089,101.07463126870114,True,,,,0.06424415196721611,0.009319348517392427,0.10984960689964737,False,False,302.9802849180674,False,False,False,False,True,False,False,False
2024-01-04,102.32244861315708,101.49396866070076,102.32244861315708,101.49396866070076,True,,,,0.37411917793993155,0.08227931440190026,0.5836797270760625,False,False,302.9802849180674,False,False,False,False,False,False,False,False
2024-01-05,102.97032893604101,101.81986982728498,102.97032893604101,101.81986982728498,True,,,,0.5752774869035591,0.18087894890223202,0.7887970760026541,False,False,302.9802849180674,False,False,False,False,False,False,False,False
2024-01-06,103.29930804841572,102.0621736169763,103.29930804841572,102.0621736169763,True,,,,0.6889690978101868,0.282496978683823,0.8129442382527275,False,False,302.9802849180674,False,False,False,True,False,False,False,False
2024-01-07,104.43670045183046,102.61143760049114,104.43670045183046,102.61143760049114,True,,,,1.0221464034412264,0.4304268636353037,1.1834390796118455,False,False,321.84054438110184,False,True,False,True,False,False,False,False
2024-01-08,105.68765772807122,103.26444952872082,105.68765772807122,103.26444952872082,True,,,,1.3939740908125628,0.6231363090707556,1.5416755634836146,False,False,326.4451527560193,False,False,False,True,False,False,False,False
2024-01-09,106.31292756199464,103.7498866464137,106.31292756199464,103.7498866464137,True,,,,1.5945044385376548,0.8174099349641355,1.5541890071470386,False,False,326.4451527560193,False,False,False,False,False,False,False,False
2024-01-10,107.06958318256049,104.29844828720964,107.06958318256049,104.29844828720964,True,,,,1.8200064052358442,1.0179292290184774,1.6041543524347337,False,False,326.88366670192534,False,True,False,False,False,False,False,False
2024-01-11,107.34524137278612,104.691704977856,107.34524137278612,104.691704977856,True,,,,1.9020053352174955,1.1947444502582811,1.4145217699184287,False,False,326.88366670192534,False,False,False,True,False,False,False,False
2024-01-12,107.27600879233572,104.94551785820903,107.27600879233572,104.94551785820903,True,,,,1.870269774545548,1.3298495151157346,1.080840518859627,False,False,326.88366670192534,False,False,False,False,False,False,False,False
2024-01-13,107.36482110433744,105.22355301885457,107.36482110433744,105.22355301885457,True,,,,1.86269578287812,1.4364187686682117,0.8525540284198168,False,False,326.88366670192534,False,False,False,True,False,False,False,False
