股票代码,股票名称,昨日收盘,今日开盘,今日收盘,最高价,最低价,涨幅(%),成交量,日期
688583,思看科技,107.23,128.68,128.68,128.68,128.68,20.0,1228003,2026-01-30
301486,致尚科技,165.31,165.48,198.37,198.37,160.0,20.0,88367,2026-01-30
688025,杰普特,134.75,133.98,161.7,161.7,133.98,20.0,7273897,2026-01-30
300731,科创新源,58.27,59.5,69.92,69.92,59.4,19.99,230100,2026-01-30
688280,精进电动-UW,9.31,9.79,11.17,11.17,9.63,19.98,76755478,2026-01-30
300805,电声股份,13.06,12.86,15.67,15.67,12.8,19.98,519000,2026-01-30
688330,宏力达,39.18,41.6,45.8,46.28,40.48,16.9,15185202,2026-01-30
688167,炬光科技,215.8,215.8,251.98,255.19,210.87,16.77,7627615,2026-01-30
301235,华康洁净,45.1,46.97,52.28,53.5,45.6,15.92,188996,2026-01-30
300385,雪浪环境,10.11,10.51,11.67,11.89,10.3,15.43,341407,2026-01-30
688350,富淼科技,24.03,23.75,27.42,27.67,23.5,14.11,13505449,2026-01-30
301266,宇邦新材,43.02,44.0,48.85,50.0,43.89,13.55,195258,2026-01-30
301317,鑫磊股份,37.18,36.81,42.15,43.48,36.66,13.37,108908,2026-01-30
688312,燕麦科技,34.33,34.91,38.85,39.38,34.91,13.17,10108792,2026-01-30
300570,太辰光,110.8,108.88,125.1,125.52,108.4,12.91,489176,2026-01-30
300189,神农种业,7.67,7.7,8.66,9.2,7.59,12.91,4714638,2026-01-30
300757,罗博特科,336.0,339.24,379.36,386.99,334.5,12.9,125323,2026-01-30
688200,华峰测控,268.39,263.59,301.27,312.89,261.98,12.25,4680496,2026-01-30
688008,澜起科技,162.18,160.48,181.85,185.88,160.2,12.13,91432100,2026-01-30
688309,恒誉环保,28.2,28.2,31.6,32.49,27.89,12.06,5808502,2026-01-30
300806,斯迪克,52.38,53.06,58.57,60.28,53.0,11.82,469185,2026-01-30
688308,欧科亿,47.86,48.0,53.25,54.94,47.89,11.26,9570955,2026-01-30
300394,天孚通信,224.0,220.89,248.43,261.9,220.23,10.91,728420,2026-01-30
301062,上海艾录,9.22,9.18,10.22,10.25,9.15,10.85,336585,2026-01-30
688135,利扬芯片,34.64,34.39,38.38,40.66,33.6,10.8,34545677,2026-01-30
300716,ST泉为,10.18,10.35,11.23,11.36,10.11,10.31,42343,2026-01-30
688416,恒烁股份,101.83,108.0,112.32,121.0,108.0,10.3,9168513,2026-01-30
002562,兄弟科技,6.76,6.7,7.44,7.44,6.67,10.06,1372010,2026-01-30
600395,盘江股份,4.97,5.47,5.47,5.47,5.47,10.06,30947184,2026-01-30
600371,万向德农,9.35,9.4,10.29,10.29,9.29,10.05,61194415,2026-01-30
002041,登海种业,10.26,10.25,11.29,11.29,10.16,10.04,888556,2026-01-30
600828,茂业商业,5.98,6.04,6.58,6.58,6.02,10.03,43590384,2026-01-30
601133,柏诚股份,16.86,16.6,18.55,18.55,16.6,10.02,47785893,2026-01-30
300828,锐新科技,21.66,21.69,23.83,24.7,21.69,10.02,206750,2026-01-30
603103,横店影视,23.18,24.21,25.5,25.5,23.62,10.01,12475650,2026-01-30
600345,长江通信,32.66,32.23,35.93,35.93,31.87,10.01,23692828,2026-01-30
002995,天地在线,31.37,33.0,34.51,34.51,30.9,10.01,572215,2026-01-30
000995,皇台酒业,14.48,15.93,15.93,15.93,15.56,10.01,422886,2026-01-30
605003,众望布艺,33.26,33.17,36.59,36.59,32.6,10.01,2383925,2026-01-30
601231,环旭电子,30.8,30.88,33.88,33.88,30.5,10.0,55560275,2026-01-30
002952,亚世光电,21.59,21.4,23.75,23.75,21.3,10.0,102868,2026-01-30
002009,天奇股份,25.8,25.41,28.38,28.38,25.41,10.0,949131,2026-01-30
000798,中水渔业,10.5,10.75,11.55,11.55,10.74,10.0,521796,2026-01-30
600354,敦煌种业,7.2,7.2,7.92,7.92,7.15,10.0,152230646,2026-01-30
600667,太极实业,10.2,10.36,11.22,11.22,10.36,10.0,356808083,2026-01-30
603059,倍加洁,33.9,35.0,37.29,37.29,35.0,10.0,3230100,2026-01-30
603629,利通电子,34.0,34.6,37.4,37.4,34.33,10.0,33734832,2026-01-30
603863,松炀资源,19.6,19.62,21.56,21.56,19.61,10.0,16058213,2026-01-30
603887,城地香江,14.2,14.3,15.62,15.62,14.3,10.0,45219555,2026-01-30
605289,罗曼股份,73.1,73.1,80.41,80.41,73.1,10.0,11411744,2026-01-30
601869,长飞光纤,135.56,132.99,149.12,149.12,131.67,10.0,22099274,2026-01-30
603172,万丰股份,23.39,25.73,25.73,25.73,25.73,10.0,1491469,2026-01-30
603391,力聚热能,63.37,63.02,69.71,69.71,63.0,10.0,3446100,2026-01-30
603598,引力传媒,26.7,26.7,29.37,29.37,26.11,10.0,70774304,2026-01-30
002155,湖南黄金,33.64,37.0,37.0,37.0,36.0,9.99,3644098,2026-01-30
002165,红 宝 丽,11.61,11.23,12.77,12.77,11.03,9.99,2640157,2026-01-30
605151,西上海,20.82,20.92,22.9,22.9,20.4,9.99,5510721,2026-01-30
600487,亨通光电,31.83,32.0,35.01,35.01,32.0,9.99,176270673,2026-01-30
603331,百达精工,14.21,14.07,15.63,15.63,14.0,9.99,31693290,2026-01-30
603861,白云电器,15.11,15.12,16.62,16.62,15.03,9.99,36757983,2026-01-30
603618,杭电股份,8.22,8.19,9.04,9.04,7.91,9.98,49980050,2026-01-30
002455,百川股份,8.72,9.26,9.59,9.59,9.02,9.98,1182377,2026-01-30
600330,天通股份,12.33,12.31,13.56,13.56,12.02,9.98,140879399,2026-01-30
002137,实益达,9.22,9.28,10.14,10.14,9.17,9.98,471578,2026-01-30
601208,东材科技,25.84,25.85,28.42,28.42,25.8,9.98,87958370,2026-01-30
002830,名雕股份,21.14,21.0,23.25,23.25,20.8,9.98,61284,2026-01-30
603010,万盛股份,11.03,11.01,12.13,12.13,10.86,9.97,27432447,2026-01-30
600084,中信尼雅,6.62,7.28,7.28,7.28,7.13,9.97,19974300,2026-01-30
600313,农发种业,8.03,8.03,8.83,8.83,7.95,9.96,260689603,2026-01-30
002491,通鼎互联,7.14,6.79,7.85,7.85,6.43,9.94,2122552,2026-01-30
688737,中自科技,25.3,25.3,27.81,28.83,25.19,9.92,7255929,2026-01-30
300863,卡倍亿,55.0,55.07,60.44,60.87,54.88,9.89,87119,2026-01-30
301205,联特科技,203.0,202.38,223.0,229.9,202.38,9.85,162434,2026-01-30
688212,澳华内镜,42.15,44.63,46.27,47.98,44.63,9.77,7025303,2026-01-30
688766,普冉股份,279.1,290.0,306.0,314.94,288.0,9.64,10819065,2026-01-30
301396,宏景科技,102.09,104.1,111.88,116.4,102.21,9.59,236349,2026-01-30
688785,C恒运昌,381.0,365.25,417.34,417.34,363.3,9.54,4307738,2026-01-30
300721,怡达股份,16.04,15.7,17.54,18.68,15.47,9.35,351021,2026-01-30
688411,海博思创,218.63,217.82,238.52,244.07,217.3,9.1,7984523,2026-01-30
688796,百奥赛图,66.58,67.88,72.59,78.75,67.88,9.03,5767521,2026-01-30
301336,趣睡科技,55.59,55.3,60.55,61.35,55.25,8.92,50119,2026-01-30
600499,科达制造,16.26,16.44,17.69,17.89,16.3,8.79,141450860,2026-01-30
600916,中国黄金,13.5,13.25,14.68,14.85,12.3,8.74,476652405,2026-01-30
300528,幸福蓝海,20.5,20.48,22.29,23.5,20.3,8.73,412939,2026-01-30
600963,岳阳林纸,5.28,5.29,5.74,5.81,5.2,8.71,201627712,2026-01-30
688195,腾景科技,189.5,188.0,206.0,209.6,186.56,8.71,9064838,2026-01-30
603163,圣晖集成,102.0,99.77,110.85,112.2,99.0,8.68,6693088,2026-01-30
600356,恒丰纸业,9.1,9.35,9.85,9.88,9.28,8.24,23208646,2026-01-30
688210,统联精密,56.36,56.9,61.0,62.5,55.0,8.23,11137034,2026-01-30
603926,铁流股份,24.41,24.24,26.36,26.68,23.75,7.99,14120025,2026-01-30
300016,北陆药业,9.07,9.5,9.79,10.32,9.5,7.94,821931,2026-01-30
688155,先惠技术,86.29,86.27,93.0,95.5,86.27,7.78,6563099,2026-01-30
688017,绿的谐波,212.46,212.96,229.0,241.98,205.12,7.78,14729140,2026-01-30
301326,捷邦科技,114.29,113.15,123.15,126.19,112.02,7.75,32692,2026-01-30
002837,英维克,99.35,97.0,106.99,107.31,97.0,7.69,860329,2026-01-30
300700,岱勒新材,13.3,13.29,14.32,14.4,13.23,7.67,247578,2026-01-30
688380,中微半导,53.74,52.63,57.85,60.99,52.55,7.65,39846293,2026-01-30
002767,先锋电子,21.81,21.68,23.47,23.96,21.57,7.61,102113,2026-01-30
688071,华依科技,36.67,36.72,39.45,41.48,35.07,7.58,8012088,2026-01-30
300471,厚普股份,13.79,14.03,14.83,15.8,13.67,7.54,529533,2026-01-30
688419,耐科装备,40.78,40.19,43.85,45.5,39.32,7.53,5959536,2026-01-30
603499,翔港科技,22.05,21.9,23.71,24.0,21.9,7.53,12244200,2026-01-30
301183,东田微,153.45,150.3,165.0,170.8,150.01,7.53,110930,2026-01-30
002809,红墙股份,14.26,13.76,15.33,15.69,13.33,7.5,594698,2026-01-30
688048,长光华芯,121.28,120.46,130.2,133.24,118.7,7.35,16495976,2026-01-30
600331,宏达股份,15.15,14.71,16.26,16.67,14.24,7.33,178157231,2026-01-30
688313,仕佳光子,85.68,84.56,91.9,93.93,82.57,7.26,53692338,2026-01-30
605337,李子园,13.62,13.64,14.59,14.78,13.64,7.12,39107933,2026-01-30
300251,光线传媒,18.26,18.26,19.56,21.0,18.1,7.12,2253652,2026-01-30
688123,聚辰股份,173.92,174.36,186.23,191.45,174.36,7.08,13581887,2026-01-30
300970,华绿生物,21.8,21.99,23.33,23.53,21.51,7.02,111555,2026-01-30
000796,凯撒旅业,5.99,6.3,6.41,6.59,6.3,7.01,1837535,2026-01-30
603966,法兰泰克,12.45,12.6,13.32,13.7,12.51,6.99,46672286,2026-01-30
300347,泰格医药,58.91,60.08,63.01,66.47,60.08,6.96,230515,2026-01-30
603162,海通发展,14.36,14.36,15.36,15.7,14.12,6.96,59215183,2026-01-30
603516,淳中科技,154.94,150.96,165.7,168.8,150.46,6.94,16427607,2026-01-30
600409,三友化工,7.67,7.72,8.2,8.3,7.72,6.91,129365074,2026-01-30
601226,华电科工,10.49,10.2,11.21,11.54,10.13,6.86,95286192,2026-01-30
688689,银河微电,31.85,31.8,34.02,34.6,31.3,6.81,6022859,2026-01-30
300502,新易盛,393.0,388.49,419.49,425.0,387.8,6.74,508374,2026-01-30
603135,中重科技,10.87,10.7,11.6,11.7,10.65,6.72,19441124,2026-01-30
002357,富临运业,12.22,12.22,13.04,13.2,12.08,6.71,182206,2026-01-30
605288,凯迪股份,120.92,116.92,129.0,133.01,115.68,6.68,2875281,2026-01-30
688539,高华科技,43.15,42.91,46.03,46.56,41.93,6.67,7638663,2026-01-30
688070,纵横股份,60.48,61.0,64.5,65.49,59.6,6.65,4924850,2026-01-30
301257,普蕊斯,65.38,65.34,69.69,70.98,65.02,6.59,45159,2026-01-30
001368,通达创智,28.15,28.15,30.0,30.13,28.15,6.57,43208,2026-01-30
603306,华懋科技,73.0,71.71,77.79,79.57,70.58,6.56,16631266,2026-01-30
300113,顺网科技,24.41,24.01,26.0,26.36,23.87,6.51,929273,2026-01-30
301056,森赫股份,15.21,15.33,16.2,16.64,15.22,6.51,94655,2026-01-30
688662,富信科技,50.15,49.75,53.38,53.65,49.0,6.44,6179811,2026-01-30
603958,哈森股份,17.38,17.0,18.5,19.12,16.18,6.44,36080794,2026-01-30
300561,*ST汇科,16.65,17.5,17.72,18.18,16.85,6.43,148432,2026-01-30
002440,闰土股份,11.83,11.52,12.59,13.01,11.31,6.42,2151100,2026-01-30
688175,高凌信息,30.91,30.9,32.89,33.0,30.01,6.41,3158982,2026-01-30
300656,民德电子,30.0,30.39,31.91,33.0,28.72,6.37,213753,2026-01-30
688367,工大高科,37.83,37.43,40.22,41.77,37.2,6.32,5954546,2026-01-30
688448,磁谷科技,61.3,63.0,65.16,66.86,62.82,6.3,4289092,2026-01-30
605389,长龄液压,77.0,77.08,81.84,82.28,76.62,6.29,2231894,2026-01-30
300250,初灵信息,24.87,24.97,26.43,26.5,24.55,6.27,264504,2026-01-30
001226,拓山重工,48.78,48.7,51.83,51.97,48.7,6.25,25316,2026-01-30
688003,天准科技,79.66,79.43,84.62,84.99,77.3,6.23,4952072,2026-01-30
688159,有方科技,55.71,54.93,59.18,60.19,54.18,6.23,11892392,2026-01-30
688428,诺诚健华-U,20.15,21.64,21.4,22.5,21.25,6.2,28038740,2026-01-30
300398,飞凯材料,26.14,25.87,27.75,28.12,25.75,6.16,733579,2026-01-30
